country,region,regime,n_chunks,Topic_1_5,Topic_2,Topic_3,Topic_4,Topic_6,Topic_7,rationalization,moral_evaluation,authorization,mythopoesis,normalization
AUSTRALIA,Oceania,Democracy,22,0.059381127486430645,0.06473190956067053,0.5446803573543687,0.07439195047211297,0.13589782940667255,0.12091682571974446,0.2584127607900954,0.28081261287772996,0.21875609435417936,0.1815601191181229,0.06045841285987223
AUSTRIA,Europe,Democracy,46,0.1104850279480341,0.3662688887691762,0.059839858689740205,0.3220234493551187,0.004129001874376935,0.1372537733635539,0.311132846914759,0.4193353025994112,0.18095834424080606,0.019946619563246733,0.06862688668177695
BELGIUM,Europe,Democracy,18,0.40710432437107047,0.05556161430249086,0.166687958284587,0.0669452181220324,0.29152689554448546,0.012173989375333833,0.5289468595689331,0.32036823115932583,0.0890352618225452,0.055562652761529,0.0060869946876669166
CANADA,North America,Democracy,16,0.5171960001892196,0.012990742502900488,0.10447161079603007,0.25507997782143155,0.09177287867811015,0.018488790012307958,0.36611064503032414,0.42745723052211915,0.1623638591760591,0.03482387026534335,0.009244395006153979
CHINA,Asia,Autocracy,30,0.0035737595645611866,0.041229555046700804,0.05098298064689968,0.06386111922643814,0.020487680231175386,0.8198649052842246,0.45282179017891866,0.07132654380114996,0.04892488649551896,0.01699432688229989,0.4099324526421123
CZECHIA,Europe,Democracy,29,0.053554263535158686,0.6033677588377676,0.08066018610988489,0.18871758423899657,0.032281203713925746,0.0414190035642663,0.38145171668252204,0.44970653200925637,0.12124552082279325,0.026886728703294963,0.02070950178213315
DENMARK,Europe,Democracy,12,0.47352207726060036,0.07925129325986123,0.23333954892266404,0.17209951406158805,0.019531362112175,0.022256204383111208,0.30704614956396137,0.44021629193191286,0.16382960667168203,0.07777984964088801,0.011128102191555604
ESTONIA,Europe,Democracy,14,0.20206979606929584,0.5952228919705597,0.017914999772333757,0.17133527293470224,0.002697843172710243,0.0107591960803976,0.4067237852328368,0.4902856470780568,0.09163930305812903,0.005971666590777918,0.0053795980401988
FINLAND,Europe,Democracy,43,0.1316464937877512,0.21007217655337745,0.5701311638686052,0.03808764926536757,0.008015652467441793,0.042046864057456695,0.1998984196667345,0.3799468810927832,0.20908754592221884,0.19004372128953506,0.021023432028728348
GERMANY,Europe,Democracy,28,0.08074547329510988,0.44334269763329776,0.04415560809627343,0.31180727456716945,0.014759080149316858,0.10518986625883246,0.3293980987429369,0.43266625877987974,0.17062217331567586,0.014718536032091143,0.05259493312941623
